Original Query,Analyzed Query
معطر الجو,"['.', 'و+', 'ال+', '##جو', '+ت']"
ايربار,"['.', 'اير', 'اندبندنت', '+ة']"
آيربار,"['.', 'عن', '+ة', '+ة']"
ايربار سيجارة,"['.', 'اير', '##بار', 'سيجار', 'ال+', 'ال+']"
ايربار سيجارة إلكترونية,"['.', 'اير', '##بار', 'سيجار', 'ال+', 'إلكتروني', 'ال+', 'ال+']"
ايربار عنب,"['.', 'اير', '+ا', 'عن', '##ب', 'ال+']"
اجاكس,"['.', '[رابط]', '+ة']"
اجباس,"['.', '.', '.', '.']"
عجوة,"['.', '[رابط]', '+ة', '+ة']"
ماش اخضر,"['.', 'ماش', '[UNK]', 'ال+']"
قرص عقيلي,"['.', 'قرص', '[UNK]', '+ة']"
عكاوي,"['.', '[رابط]', '+ة']"
جبن عكاوي,"['.', 'جبن', 'عكاوي', 'ال+']"
جبنه عكاوي,"['.', 'جبن', '##ه', 'عكاوي', 'ال+']"
جبنة عكاوي,"['.', 'جبن', '+ة', 'عكاوي', '+ة']"
دجاج العين,"['.', 'دجاج', 'ال+', '##عي', 'ال+', 'و+']"
عصير العين,"['.', 'عصير', 'ال+', '##عي', 'ال+', 'و+']"
مياه العين,"['.', 'مياه', 'ال+', '##عي', 'ال+', 'و+']"
زبادي العين,"['.', 'عدنان', 'ال+', '##عي', 'ال+', 'كاريكاتير']"
العلالي كيك,"['.', 'ال+', '##عل', '##الي', '+ة', '+ة']"
ورق عنب العلالي,"['.', 'ورق', 'عن', '##ب', 'ال+', '##عل', '.', '+ة']"
العلالي خليط,"['.', 'ال+', 'صور', '##الي', '+ة', '.']"
صلصة العلالي,"['.', 'صلص', '##ة', 'ال+', '##عل', '##الي', '##ت']"
العلالي صلصة,"['.', 'ال+', '##عل', '##الي', '##ي', 'ال+', 'و+']"
تونة العلالي,"['.', 'تون', '+ة', 'ال+', '##عل', '.', '+ة']"
بيتزا الفيصل,"['.', 'ب+', 'ال+', 'شاطر', 'كاريكاتير']"
الجزيرة,"['.', 'ال+', 'جزير', '##ة', 'و+']"
عصير الروابي,"['.', 'عصير', 'ال+', '##رو', '.', 'و+']"
حليب الروابي,"['.', 'حليب', 'ال+', '##رو', '.', 'ال+']"
الريان,"['.', 'ال+', '##ريان', '+ة']"
الرفاعي مكسرات,"['.', 'ال+', '##رف', 'ال+', 'مكسر', '##ات', '##و']"
مكسرات الرفاعي,"['.', 'مكسر', '##ات', 'ال+', 'تراب', '##اعي', 'ال+']"
حليب الصافي,"['.', 'حليب', 'ال+', '##صاف', '##ي', 'و+']"
حليب الصفوة,"['.', 'حليب', 'ال+', 'سما', '##و', 'ال+', 'و+']"
العميد قهوة تركية,"['.', 'ال+', '##عم', '##يد', 'قهو', 'ال+', 'تركي', '##ة', 'و+']"
العويد,"['.', 'ال+', '##عو', '[رابط]', 'و+']"
عسل العويد,"['.', 'عسل', 'ال+', 'ال+', 'ال+', 'و+']"
الفيصل,"['[رابط]', 'ال+', 'كاريكاتير', '[رابط]']"
قهوة الحموي,"['+ة', 'قهو', '+ة', 'ال+', 'بن', '##و', '##ي', '+ة']"
الجنيدي,"['.', 'ال+', 'جيو', '[رابط]', '+ة']"
شاي الكبوس,"['.', 'شاي', 'ال+', '##كبو', '##س', 'في']"
شاي الكوزي,"['.', 'شاي', 'ال+', 'حب', 'ال+']"
المنيس,"['.', 'ال+', '##مني', '##س', '+ة']"
شاي المنيس,"['.', 'شاي', 'ال+', '##مني', '##س', 'في']"
القصيم,"['.', 'ال+', '##قص', '+ة', '+ة']"
الروضتين,"['.', 'ال+', 'جامع', '##ت', '##ين', 'و+']"
الرفاعي,"['.', 'ال+', 'قاهر', '[رابط]', '+ة']"
الصيداوي,"['.', 'ال+', '[رابط]', '##ت']"
العلالي,"['+ة', 'ال+', '##عل', '[رابط]', '+ة']"
كيك العلالي,"['.', 'مهرجان', 'ال+', 'ف', '[رابط]', '+ة']"
كاتشب العلالي,"['.', 'محمد', 'ال+', '##عل', '[رابط]', 'صور']"
قهوه الباتل,"['.', 'قهو', '##ه', 'ال+', '##ب', '##ات', '##ل', 'ال+']"
قهوة الباتل,"['.', 'قهو', 'ال+', 'ال+', '##ب', '##ات', '##ل', 'في']"
كحول,"['.', 'كحول', '.']"
الكحول,"['.', 'ال+', '##ك', '[رابط]', 'و+']"
حلبي,"['.', '+ه', '+ه']"
حلب,"['.', 'حلب', '+ة']"
الفاكورت,"['.', 'ال+', '##فاك', '##ور', 'ال+', 'ال+']"
الفريدو,"['.', 'ال+', '[رابط]', 'ال+']"
طحالب,"['.', '[رابط]', 'ال+']"
شاي الغزالين,"['.', 'شاي', 'ال+', '##غز', '##الي', 'ال+', 'و+']"
ام علي,"['.', 'ام', 'علي', 'ال+']"
ali cafe,"['[رابط]', '[UNK]', 'ca', 'mo', '##e', '+ة']"
علي كافيه,"['.', 'علي', 'كافي', '+ه', '+ه']"
علي كافية,"['.', 'علي', 'كافي', '+ة', 'حلب']"
اليكا,"['.', 'ال+', '[رابط]', 'ال+']"
الكالايف,"['.', 'ال+', 'يوم', '.', '+ة']"
الكازي,"['+ة', 'ال+', '##كاز', '##ي', '+ة']"
الكوزي,"['.', 'ال+', '[رابط]', '##ت']"
تمام,"['.', '[رابط]', 'ال+']"
مبيد جميع الحشرات,"['.', 'في', 'جميع', 'ال+', 'حشر', '##ات', 'و+']"
طحين جميع الاستعمالات,"['.', 'في', 'جميع', 'ال+', '##اس', 'ال+', '##ت', '##ات', 'و+']"
الحساسية,"['.', 'ال+', 'حماص', '##ي', '##ة', 'و+']"
كريم حساسيه,"['.', 'كريم', 'حساسي', 'ال+', 'ال+']"
عصير تفاح المراعي,"['.', 'عصير', 'تفاح', 'ال+', '##مر', '##اعي', 'ال+']"
عصير توت المراعي,"['.', 'عصير', 'توت', 'ال+', '##مر', '.', 'ال+']"
لبنة المراعي,"['.', 'لبن', '##ة', 'ال+', '##مر', '##اعي', 'ال+']"
زبدة المراعي,"['.', 'محمد', 'ال+', '##مر', '##اعي', 'ال+']"
زبده المراعي,"['.', 'م', '##ه', 'ال+', '##مر', '##اعي', 'ال+']"
المراعي جبنة,"['.', 'ال+', '##مر', '##اعي', 'جبن', 'ال+', 'و+']"
جبنه المراعي,"['.', 'م', '##ه', 'ال+', '##مر', '##اعي', 'ال+']"
جبن المراعي,"['.', 'جبن', 'ال+', '##مر', '##اعي', 'ال+']"
جبنة المراعي,"['.', 'جبن', '##ة', 'ال+', '##مر', '##اعي', 'ال+']"
المراعي جبن,"['.', 'ال+', '##مر', 'ال+', '+ة', '+ت']"
حمص المراعي,"['.', 'حمص', 'ال+', '##مر', 'ال+', '+ة']"
قشطه المراعي,"['.', 'م', '##ه', 'ال+', '##مر', '##اعي', 'صور']"
قشطة المراعي,"['.', 'قشط', '##ة', 'ال+', '##مر', '##اعي', '+ة']"
حليب مبخر المراعي,"['.', 'حليب', 'في', 'ال+', '##مر', '##اعي', 'ال+']"
حلوم المراعي,"['.', 'محمود', 'ال+', '##مر', '[رابط]', '+ت']"
المراعي عصير,"['.', 'ال+', '##مر', 'ال+', '+ة', '.']"
عصير المراعي,"['.', 'عصير', 'ال+', '##مر', '##اعي', 'ال+']"
حليب المراعي قليل الدسم,"['.', 'حليب', 'ال+', '##مر', '##اعي', 'قليل', 'ال+', '##دس', '##م', 'ال+']"
حليب مراعي,"['.', 'حليب', 'مراعي', 'ال+']"
المراعي لبن,"['.', 'ال+', '##مر', 'ال+', '+ة', '+ت']"
المراعي حليب,"['.', 'ال+', 'كاتب', 'ال+', '+ة', '.']"
لبنه المراعي,"['.', 'م', '##ه', 'ال+', '##مر', '##اعي', 'ال+']"
لبن المراعي,"['.', 'محمد', 'ال+', '##مر', '[رابط]', 'ال+']"
عصير برتقال المراعي,"['.', 'عصير', 'برتقال', 'ال+', '##مر', '##اعي', 'كاريكاتير']"
روب المراعي,"['.', 'محمد', 'ال+', 'كاتب', '[رابط]', 'ال+']"
المراعي زبادي,"['.', 'ال+', 'كاتب', 'ال+', '+ة', '.']"
زبادي المراعي,"['.', 'محمد', 'ال+', '##مر', '##اعي', 'ال+']"
الميره,"['.', 'ال+', '##مير', '##ه', '+ت']"
الميرة,"['.', 'ال+', '##مير', '+ة', 'و+']"
الموند,"['.', 'ال+', '[رابط]', 'و+']"
زبدة اللوز,"['.', 'أفكار', 'اللوز', '+ة']"
طحين لوز,"['.', 'ال+', '+ة', 'ال+']"
طحين اللوز,"['.', 'طحين', '[UNK]', '+ة']"
دقيق اللوز,"['.', 'دقيق', '+ة', 'ال+']"
لوز انصاف,"['.', 'ال+', '+ة', '+ة']"
حليب لوز,"['.', 'حليب', 'لوز', 'ال+']"
حليب اللوز,"['.', 'حليب', '.', 'ال+']"
لوز ني,"['.', 'سيرجي', '+ا', '+ة']"
مكسرات لوز,"['.', 'مكسر', '+ات', 'لوز', '+ة']"
زيت لوز,"['.', 'زيت', 'لوز', 'ال+']"
زيت اللوز,"['.', 'زيت', 'اللوز', '+ة']"
اللوز,"['.', 'اللوز', '.']"
الصبار,"['.', 'ال+', 'مز', '##ار', '+ة']"
جل صبار,"['.', 'ال+', 'صبار', 'ال+']"
ألبرو,"['.', 'ألب', 'رويترز', 'ال+']"
علوك,"['[رابط]', '[رابط]', '[رابط]', '+ة']"
المنيوم,"['.', 'كاريكاتير', '.']"
الومنيوم,"['.', 'ال+', '##ت', 'ال+']"
المونيوم,"['[رابط]', 'ال+', '[رابط]', '+ة']"
ألمنيوم,"['.', 'ألمنيوم', '.']"
ورق المنيوم,"['.', 'ورق', '+ة', 'ال+']"
صحن المنيوم,"['.', 'صحن', '[UNK]', '+ة']"
دايم,"['.', '[رابط]', '.']"
الويز,"['.', 'ال+', '[رابط]', 'ال+']"
ألويز,"['.', 'جندي', '+ة', '.']"
ديما,"['.', '[رابط]', '+ة']"
أولويز,"['[رابط]', '[رابط]', '+ات', 'ال+']"
اولويز فوط صحية,"['.', 'سل', '##ز', '+ة', 'صحي', '+ة', 'و+']"
اولويز فوط,"['.', 'اكر', '+ات', '.', '+ت']"
شاي الوزة,"['.', 'شاي', 'ال+', '##وز', '+ة', 'و+']"
امادا,"['.', '##ا', '##ا', '##ا', 'ال+']"
بطاطس مدهش,"['.', 'ال+', '.', 'ال+']"
بطاطس المدهش,"['.', 'في', 'ال+', '##مد', 'ال+', '##ش', 'ال+']"
حليب مدهش,"['.', 'حليب', 'مدهش', 'ال+']"
حليب المدهش,"['.', 'حليب', 'ال+', '##مد', '##ه', '##ش', 'ال+']"
مدهش بطاطس,"['.', 'ال+', '+ة', 'ال+']"
روب روعه,"['.', 'ال+', 'ال+', '+ة', '+ه']"
امازون,"['[رابط]', '[رابط]', '+ة']"
امبولات,"['.', 'امبو', '##لا', '##ت', '+ة']"
قهوة امريكية,"['##ة', 'قهو', '+ة', 'أمريكي', '##ة', '##و']"
امريكان جاردن,"['.', 'في', 'اندبندنت', '+ة']"
خس امريكي,"['.', 'خس', 'أميركي', 'ال+']"
رز امريكي,"['.', 'رز', 'أمريكي', 'ال+']"
اميركانا,"['.', 'ولاي', '##ا', '+ت']"
امريكانا,"['.', 'ولاي', '##ا', '+ت']"
أمريكانا,"['.', 'عن', '##ا', '+ة']"
امريكانا برجر,"['.', 'امريكان', '##ا', 'برجر', '+ت']"
برجر امريكانا,"['.', 'عن', '##ت', '##ا', '+ة']"
كيك أمريكانا,"['.', '[UNK]', 'أمريكان', '+ة', '+ة']"
أمريكانا كيك,"['.', 'أمريكان', 'ال+', 'كيك', 'ال+']"
كيك امريكانا,"['.', 'كاريكاتير', 'ب', '##ا', '+ة']"
امريكانا كيك,"['.', 'رف', '##ا', 'كيك', '+ت']"
دجاج امريكانا,"['.', 'ال+', 'ال', '##ا', 'ال+']"
امريكانا دجاج,"['.', 'رسائل', '##ا', 'دجاج', 'ال+']"
كوكيز امريكانا,"['.', 'ال+', '##ا', '##ا', '+ت']"
امريكانا كوكيز,"['.', 'امريكان', '##ا', '+نا', '+ة']"
كيك امريكانو,"['.', 'كيك', '+ة', '##و', '+ت']"
امريكان,"['.', 'ولاي', '.']"
امريكانو,"['.', 'اندبندنت', '##و', '+ت']"
ايمون,"['.', 'ايمو', '##ن', 'و+']"
ميزان,"['[رابط]', '[رابط]', 'ال+']"
بتر جكن,"['.', '[رابط]', 'ج', '[رابط]', '+ة']"
امول,"['+ة', 'امو', '##ل', '+ات']"
بطاطس أمواج,"['.', 'ال+', '+ة', 'ال+']"
بطاطس امواج,"['.', 'ال+', '[رابط]', 'ال+']"
جبس امواج,"['.', 'ال+', '+ة', 'ال+']"
بوضه,"['[رابط]', 'ب', '##وض', '+ه', '+ه']"
بوضة,"['[رابط]', 'ب', '##ال', '+ة', 'و+']"
بيضه,"['[رابط]', 'بيض', '[رابط]', 'ال+']"
بيضة,"['كاريكاتير', 'بيض', '+ة', 'كاريكاتير']"
برتقال,"['.', '.', '.']"
مسكن الم,"['.', 'مسكن', 'ال+', '##م', '+ت']"
تحليل,"['[رابط]', '[رابط]', '+ة']"
انشور,"['.', 'انش', '##ت', '+ت']"
انكور,"['[رابط]', '[رابط]', 'رويترز', '+ة']"
حليب انشور,"['.', '[UNK]', 'ال+', '+ات', '+ة']"
حليب انكور,"['.', 'حليب', 'انكو', '##ر', 'ال+']"
اورجانو,"['.', 'جون', '##ان', '##و', 'جان']"
اندمي,"['.', 'اندم', '##ي', '.']"
وايبس مناديل,"['.', 'واي', '##بس', '[رابط]', '+ة']"
اندوم,"['.', '[رابط]', '[رابط]', 'ال+']"
اندومب,"['.', '[رابط]', '##م', '[رابط]', 'ال+']"
اندوني,"['.', '[رابط]', '+ة']"
حيوانات,"['.', 'حيوان', '+ات', 'ال+']"
يانسون,"['.', '[UNK]', 'ال+']"
شاي ينسون,"['.', 'شاي', '[رابط]', '+ة']"
شاي يانسون,"['.', 'شاي', '+ات', 'ال+']"
ضد القشرة,"['.', 'ضد', 'ال+', 'تخشي', '##ر', '+ة', 'و+']"
شامبو ضد القشره,"['.', 'شامبو', 'ضد', 'ال+', 'ت', '##ر', 'ال+', 'ال+']"
شامبو ضد القشرة,"['.', 'شامبو', 'ضد', 'ال+', 'تخشي', '##ر', 'ال+', 'ال+']"
صابون مضاد للبكتيريا,"['.', 'صابون', 'مضاد', 'ال+', 'ال+', 'ال+', '##تيري', 'ال+', 'ال+']"
مضاد حيوي,"['.', 'مضاد', 'حيوي', '+ة']"
خافضة للحرارة,"['.', 'خافض', '##ة', 'ل+', 'ال+', '##م', 'ال+', 'ال+']"
خافض حراره,"['.', 'ال+', 'حرار', '##ه', 'ال+']"
خافض حرارة,"['.', 'خافض', 'حرار', '+ة', '+ة']"
ابلاوز,"['.', 'ال+', '##ا', '[رابط]', 'ال+']"
خل التفاح,"['.', 'ال+', '+ة', '+ات', 'ال+']"
عصير تفاح,"['.', 'عصير', 'تفاح', 'ال+']"
عصير التفاح,"['.', 'عصير', '[رابط]', '+ات', '+ة']"
خل تفاح,"['.', 'ال+', 'تفاح', 'ال+']"
تفاح,"['.', '[UNK]', '+ة']"
مشمش,"['.', '[UNK]', 'ال+']"
مربى مشمش,"['.', 'مربى', 'مشمش', 'ال+']"
عصير مشمش,"['.', 'عصير', 'مشمش', 'ال+']"
صحن,"['[رابط]', '[رابط]', '+ة']"
أبتاميل,"['.', 'أب', '##ت', '[رابط]', 'ال+']"
ابتاميل,"['.', 'اب', '##ت', '[رابط]', 'ال+']"
ابتاميل ٢,"['.', 'اب', '##ت', 'عن', '[UNK]', 'ال+']"
ابتاميل ٣,"['.', 'اب', '##ت', 'عن', '[UNK]', 'ال+']"
ابتاميل 3,"['.', 'اب', '##ت', '+ون', '3', 'ال+']"
حليب اطفال ابتاميل,"['.', 'حليب', 'أطفال', 'أب', '##ت', '.', 'ال+']"
ابتاميل كومفورت,"['.', 'اب', '##ت', 'فرانك', 'كوم', '[رابط]', 'ال+']"
حليب ابتاميل,"['.', 'حليب', 'اب', '##ت', '.', 'ال+']"
اقماع,"['.', '.', '##اع', '.']"
اكوا,"['.', '[رابط]', '+ة']"
اكوا جلف,"['.', 'اكوا', 'جلف', 'ال+']"
اكوافينا,"['.', 'اكوا', '##في', '##نا', '.']"
ماء اكوافينا,"['.', 'ماء', 'اكوا', '##في', '##نا', '+ة']"
اكواجلف,"['.', 'اكوا', '##ب', '[رابط]', '+ة']"
زيت العربي,"['.', 'زيت', 'ال+', 'زيتون', 'ال+']"
اربيانا,"['.', 'ب', '##ان', '##ا', '+ة']"
عربية,"['.', 'عربي', '+ة', 'و+']"
خبزعربي,"['.', 'خبز', '+ة', '.']"
خبز عربي,"['.', 'خبز', 'عربي', '.']"
قهوة عربيه,"['.', 'قهو', 'ال+', 'عربي', '##ه', 'ال+']"
قهوه عربية,"['.', 'قهو', 'ال+', 'عربي', 'ال+', 'و+']"
قهوه عربي,"['.', 'قهو', 'ال+', 'عربي', 'ال+']"
قهوه عربيه,"['.', 'قهو', 'ال+', 'عربي', 'ال+', 'ال+']"
قهوة عربية,"['##ة', 'قهو', '+ة', 'عربي', '##ة', 'ال+']"
لحم عربي,"['.', 'لحم', 'عربي', '.']"
بهارات عربية,"['.', 'بهار', 'ال+', 'عربي', 'ال+', 'و+']"
حلويات عربية,"['.', 'حلوي', 'ال+', 'عربي', 'ال+', 'و+']"
حليب قوس,"['.', 'حليب', 'قوس', 'ال+']"
قوس,"['[رابط]', '[رابط]', 'ال+']"
اريو,"['.', 'ار', '##ي', '##و', '.']"
غسول للمناطق,"['.', 'و+', 'ال+', '##لم', 'ال+', 'ال+', 'و+']"
اريج,"['[رابط]', '[رابط]', '+ة']"
عصير اريج,"['.', 'عصير', '[رابط]', '+ة']"
اريل,"['.', '[رابط]', '.']"
ايريل,"['.', 'اير', '##ي', '##ل', '.']"
اريال,"['.', 'اريا', '##ل', 'أيوب']"
ايريال,"['.', 'اير', '##ي', '##ال', '.']"
اريال مسحوق,"['.', 'اريا', '##ل', 'إبراهيم', 'ال+']"
اريال مسحوق غسيل,"['.', 'اريا', '##ل', 'مسحوق', 'غسيل', '+ة']"
العريش,"['.', 'ال+', '[رابط]', 'ال+']"
جبن اريش,"['.', 'ال+', 'ار', '.', 'ال+']"
جبنة اريش,"['.', 'جبن', '+ة', 'ال+', '##و', '+ه']"
ارلا,"['.', 'ار', '##لا', '+ت']"
حليب ارلا,"['.', 'حليب', 'ار', '##لا', '+ت']"
ارم اند هامر,"['.', 'ل+', 'اند', '[رابط]', 'ال+']"
عرموط,"['.', '[رابط]', '+ت']"
معطر جسم,"['.', 'ال+', '[رابط]', 'ال+']"
ارد,"['.', '+ه', '+ه']"
نيولاند,"['.', 'نيو', '##لاند', '+ة']"
خرشوف,"['.', '[رابط]', 'ال+']"
اروى,"['.', 'ارو', '+ه', 'و+']"
أروى,"['.', '[رابط]', 'ال+']"
مياه اروى,"['.', 'مياه', 'ال+', 'ال+', '+ت']"
كتفلام,"['[رابط]', '[رابط]', '.', 'ال+']"
كشب,"['[رابط]', '[رابط]', '[رابط]', 'ال+']"
ارز اسمر,"['.', 'أرز', 'اسمر', 'ال+']"
اسبرين,"['.', 'اسبر', '##ين', 'كاريكاتير']"
اسد,"['.', '[رابط]', '+ه']"
محول,"['.', '[رابط]', 'ال+']"
اشبنت,"['[رابط]', '[رابط]', '##ن', '##ت', '+ة']"
ربو,"['.', '[رابط]', 'ال+']"
بخاخ ربو,"['.', 'ال+', 'ربو', 'ال+']"
بخاخ الربو,"['.', 'بخاخ', 'ال+', 'ربو', 'ال+']"
فلك,"['[رابط]', 'فلك', '+ه']"
بخصم,"['[رابط]', 'ب', 'حما', '[رابط]', 'ال+']"
اتشار,"['.', 'حما', 'حما', 'ال+']"
اتروفين,"['.', 'ا', '##ترو', '##في', '.', '.']"
بريد,"['[رابط]', '[رابط]', 'ال+']"
العطار,"['.', 'ال+', '##عط', '+ة', '+ة']"
عناية,"['[رابط]', 'عناي', '+ة', '+ة']"
عنايه,"['[رابط]', '[رابط]', '##ه', 'ال+']"
أطياب,"['.', '[رابط]', '+ة']"
اوجمنتين,"['.', 'ال', '##ت', 'ال+', '##ين', 'و+']"
لحم استرالي,"['.', 'لحم', '+ة', 'ال+']"
سلطات,"['.', 'قو', '+ات', '+ة']"
سلطة,"['.', 'سلط', 'ال+', 'و+']"
افكادو,"['.', 'اف', 'ب+', 'ال+']"
افين,"['.', 'اف', '.', 'ال+']"
افينو,"['.', 'اف', '##ين', '##و', 'ال+']"
أفوكادو,"['.', '[رابط]', 'ال+']"
افوكادو,"['.', 'ال+', '+ة', 'ال+']"
افوجين,"['.', 'في', '+ة', 'ال+']"
عصير اوال,"['.', 'عصير', '[رابط]', '+ة']"
عوار قلب,"['+ه', 'عوار', 'قلب', '.']"
عيران,"['.', 'ال+', '##ان', '.']"
بي كولا,"['.', 'بي', 'اندبندنت', 'ال+']"
b12,"['[رابط]', 'b', '[رابط]', '+ة']"
بيبي,"['.', '+ه', '+ه']"
بيبيسي,"['.', '[رابط]', 'رويترز', '+ة']"
فرشاة اطفال,"['.', 'فرشا', 'ال+', 'كاريكاتير', '+ي']"
بيبي كير,"['.', '[رابط]', 'كير', '+ة']"
صابون ملابس اطفال,"['+ة', 'صابون', 'ال+', '.', '+ة']"
كريم اطفال,"['.', '[UNK]', 'قاسم', '+ة']"
